date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-05-13T00:00:00.000Z,185.72,189.48,182.85,187.71,57430623,44.7586183147,45.6647803051,44.0669467954,45.2382093681,229722492,0.0,1.0
2019-05-14T00:00:00.000Z,188.66,189.7,185.41,186.41,36529677,45.467159871,45.7178004216,44.6839081506,44.92490868,146118708,0.0,1.0
2019-05-15T00:00:00.000Z,190.92,191.75,186.02,186.27,26544718,46.0118210674,46.2118515068,44.8309184735,44.8911686059,106178872,0.0,1.0
2019-05-16T00:00:00.000Z,190.08,192.47,188.84,189.91,33031364,45.8093806228,46.3853718879,45.5105399663,45.7684105328,132125456,0.0,1.0
2019-05-17T00:00:00.000Z,189.0,190.9,186.76,186.93,32879090,45.549100051,46.0070010568,45.0092588652,45.0502289552,131516360,0.0,1.0
2019-05-20T00:00:00.000Z,183.09,184.35,180.28,183.52,38612290,44.1247869225,44.4284475895,43.4475754349,44.2284171501,154449160,0.0,1.0
2019-05-21T00:00:00.000Z,186.6,188.0,184.7,185.22,28364848,44.9706987805,45.3080995217,44.5127977747,44.63811805,113459392,0.0,1.0
2019-05-22T00:00:00.000Z,182.78,185.71,182.55,184.66,29748556,44.0500767583,44.7562083094,43.9946466366,44.5031577536,118994224,0.0,1.0
2019-05-23T00:00:00.000Z,179.66,180.54,177.81,179.8,36529736,43.2981551067,43.5102355726,42.8523041274,43.3318951808,146118944,0.0,1.0
2019-05-24T00:00:00.000Z,178.97,182.14,178.62,180.2,23714686,43.1318647414,43.8958364196,43.0475145562,43.4282953926,94858744,0.0,1.0
2019-05-28T00:00:00.000Z,178.23,180.59,177.91,178.92,27948160,42.9535243497,43.522285599,42.8764041803,43.119814715,111792640,0.0,1.0
2019-05-29T00:00:00.000Z,177.38,179.35,176.0,176.42,28481165,42.7486738997,43.2234449426,42.4160931692,42.5173133916,113924660,0.0,1.0
2019-05-30T00:00:00.000Z,178.3,179.23,176.67,177.95,21218412,42.9703943868,43.1945248791,42.5775635239,42.8860442015,84873648,0.0,1.0
2019-05-31T00:00:00.000Z,175.07,177.99,174.99,176.23,27043584,42.1919626769,42.8956842227,42.1726826346,42.471523291,108174336,0.0,1.0
2019-06-03T00:00:00.000Z,173.3,177.92,170.27,175.6,40396069,41.7653917399,42.8788141856,41.0351601359,42.3196929575,161584276,0.0,1.0
2019-06-04T00:00:00.000Z,179.64,179.83,174.52,175.44,30967961,43.2933350961,43.3391251967,42.0594123857,42.2811328728,123871844,0.0,1.0
2019-06-05T00:00:00.000Z,182.54,184.99,181.14,184.28,29773427,43.9922366313,44.5826879283,43.6548358902,44.4115775524,119093708,0.0,1.0
